,date,rating,userName,content,platform
19,2021-12-10,1,Tony Kye,네비게이션을 바꾸든지 문제점을 개선하세요. 승처지점도 이상하게 뱅뱅 돌아서오고 그나마 승차했을때는 출근시간보다 10분 일찍 도착하는걸로 나왔는데 가는도중 10여분이 늘어나더니 결국 지각했습니다. 기분이 상하네요,PlayStore
20,2022-02-22,3,장현정,왜 현장 결제를 없앴죠? 현장 결제하며 타고다녔는데.. 다시 현장결제 시스템 시행합시다! 사용 못하게 생겼네,PlayStore
21,2021-11-12,4,Jihyun Woo,차도 깨끗하고 기사님도 대부분 친절하시지만 몇 가지 개선이 필요한 문제가 있어요. 1. 승차 위치 핑을 옮기면 특정 건물 앞 등으로 자동으로 이동되는데 불편해요. 탑승 희망하는 정확한 위치로 설정이 안됩니다. 2. 기사님과 제가 길 건너에서 서로 기다리던 적이 있었어요. 이 역시 위치 인식의 문제 같습니다. 제 맵에서는 분명 호출위치와 기사님의 위치가 반대편으로 나오는데 기사님께서는 제가 그쪽으로 찍었다고 하시더라고요? 결국 저보고 이동하라고 하셔서 불편했습니다. 3. 차가 잡히면 도착 예상시간보다 항상 두배쯤 걸려요. 6분 후 도착이라고 떠있어도 10분~15분 대기는 기본입니다. 급할땐 타 플랫폼 택시 부를걸 하고 여러번 후회했어요. 웬만하면 리뷰 잘 안남기는데 이런 단점만 개선되면 계속 쓰고 싶은 서비스라 긴 글 남깁니다.,PlayStore
22,2021-11-14,4,Song Hwiyoun,진짜 다 좋은데 차 수가 적어서 그런지 배차가 멀리서 되는 경우가 많아서 기사님 도착 시간이 맨날 천차 만별이에요. 그래서 여유롭게 부르곤하는데 그러다 또 가까이서 금방 잡혀서 취소한 적도 있고 기사님께 5분 정도 걸릴 거 같으니 취소해달라고 전화했으나 기다리겠다 하셔서 기다리시더니 타자마자 한 소리 하시는 경우도 있었어요. 이게 배차 후 얼마나 걸릴 지 모르니까 맨날 택시 부르는 게 도박이에요. 부르기 전에 근처에 호출 가능한 아이엠이 있는지 확인할 수 있는 기능도 있으면 좋겠어요. 그리고 기사님 도착예정시간보다 늘 1.5배 이상 더 걸립니다...,PlayStore
23,2021-12-02,5,정지원,초창기 보다 차량이 늘어나서 좋습니다. 매달 한달에 한번씩 제주-서울 오가며 김포공항에서 이용 중인데 . 김포공항 근처 차량이 많아 배차시간이 짧아 져서 특히 더 좋아요. 짐이 많아도 넉넉한 공간 덕분에 기사님 눈치 안보고. 친절한 지니님 서비스도 만족합니다.,PlayStore
24,2021-09-29,4,Seoul le,"운전사분들 안내가 정확히 이뤄졌음합니다. 저번에 자동결제적용을 분명히했는데 기사분이 결제안됐다며 카드요구하셔서 결제했습니다. 장거리이용했던지라 쿠폰 미적용돼 아쉬웠는데, 이번 기사님은 곧장 적용하시더라고요. 나이를 논하지는 않겠지만 어느 연령대 기사님이든 결제시스템 이해도가 높아야겠네요. 그리고 배차도 잘안된다고 보이는게 타다나 카카오는 5분내 탑승인데 10분기다려서 탔습니다. 배차시스템도 개선이 필요해보이네요.",PlayStore
25,2021-11-03,5,우민우,완전편하고 타사랑요금차이도많이 나지도않고 승차감진짜 핵좋아요 타사보다 돌아가지도않으시고 보다 편안하고 빠르게 가주셔서 매우맘에들어요~~ 수정해야겠습니다 다른택시보다 바로콜잡으신다는데 그것도 아니신거 같네요 기사님들말씀이 다 거짓이였나바요? 저 이용기록다나와있습니다 개선에 더 많은 노력이 필요하실거 같네요,PlayStore
26,2021-11-20,5,hyung jun Kim,"참 좋습니다만 제안드립니다! 다크모드가 있었으면 합니다. 타 어플과의 차별화도 되고 깔끔함과 배터리 효율 및 번인 우려도 적기에 애정하는 어플이기에 조심스레 제안드려 봅니다. 하하 디자이너분들이나 개발자분들이 힘들겠지만 ,, 사용자 경험이 짱이죠 하하",PlayStore
27,2021-11-10,3,Y J,아직 앱 사용전이고 조만간 앱 사용후에 리뷰수정할거예요! 그전에 즐겨찾기 기능 미리 설정중인데 즐겨찾기 장소 이름을 사용자가 원하는대로 설정 가능했으면 좋겠어요!!! 검색에 장소 이름이 없으면 주소 그대로만 저장되네요ㅠㅠ 저도 주소로만 보면 헷갈리는데 이러면 즐겨찾기 기능이 의미가 크게 있나싶네요.. 장소명을 사용자가 설정해서 저장할수있게 해주세요!,PlayStore
28,2021-10-11,5,주황잠바,매번 택시만 타고 다녔는데 요새 택시도 잘 안 잡혀서 기다리는 시간 보내기 넘 짜증났거든요ㅠㅠ 근데 아이엠은 호출도 빠르고 기사님이 엄청 친절하셨어요! 차안에 공기청정기도 있어서 보고 놀랐어요 ㅎㅎㅎ 배려해주시는거 같아서 너무 마음에 들어서 다음에 또 이용할게요,PlayStore
29,2021-09-29,5,현아름,짐이 많거나 반려동물 데리고 있을 때 이용하면 좋을거 같아요~ 택시는 호출 부르면 강아지 캐리어 보면 승차거부 하시는 기사님들이 몇몇 계시더라구요ㅜㅜ 눈치보이는 것도 싫고 저도 마음 편하고 싶어서 아이엠으로 호출해봤는데 기사님 친절하시고 카니발 택시라 넓어서 너무 편했어요~,PlayStore
30,2021-12-02,5,Bi S,한번타면 또 생각나는 프리미엄 택시 가족 단위로 이용하기 너무 좋습니다. 특히 임산부가 이용하기 좋고 친구들 여러명 같이 타기도 좋아요. 타보니까 카니발로 차를 바꾸고 싶더라구요 ㅋㅋ 나중에 꼭 공항갈때 이용해보고 싶어요!!,PlayStore
